latitude,longitude
17.43502,78.39483
17.43506,78.3949
17.43511,78.39499
17.43513,78.39506
17.43515,78.39515
17.43516,78.39523
17.43516,78.39529
17.43515,78.39542
17.43514,78.3955
17.43512,78.39558
17.4351,78.39564
17.43509,78.39566
17.43505,78.39575
17.43501,78.39582
17.43496,78.39588
17.43491,78.39594
17.43486,78.39599
17.4348,78.39605
17.43475,78.39609
17.43473,78.39611
17.43462,78.3962
17.43459,78.39623
17.43454,78.39628
17.43447,78.39636
17.4344,78.39646
17.43433,78.39655
17.43425,78.39668
17.43421,78.39674
17.4341,78.39693
17.43407,78.39696
17.434,78.39707
17.43386,78.39729
17.43378,78.39744
17.43376,78.39747
17.43366,78.39766
17.43357,78.39783
17.43346,78.39804
17.43338,78.3982
17.43336,78.39824
17.43329,78.39836
17.43322,78.39848
17.43314,78.39862
17.43305,78.39876
17.43297,78.39892
17.43294,78.39897
17.4329,78.39904
17.43285,78.39912
17.4328,78.39919
17.43272,78.39928
17.43261,78.3994
17.43252,78.39951
17.43242,78.39963
17.43234,78.39973
17.43231,78.39977
17.43219,78.39992
17.43207,78.40006
17.43198,78.40019
17.43197,78.40021
17.43185,78.40037
17.43175,78.40051
17.43171,78.40056
17.43171,78.40057
17.43163,78.40068
17.43154,78.4008
17.43146,78.40089
17.43132,78.40105
17.43129,78.40108
17.43119,78.40118
17.43109,78.40128
17.43098,78.40141
17.43075,78.40169
17.43069,78.40177
17.43065,78.40183
17.43046,78.40207
17.43029,78.4023
17.43027,78.40233
17.43014,78.4025
17.43009,78.40257
17.43007,78.4026
17.42998,78.40272
17.42979,78.40298
17.42974,78.40305
17.42966,78.40315
17.42965,78.40317
17.42949,78.40337
17.42936,78.40355
17.42925,78.40369
17.42907,78.40392
17.42901,78.404
17.42888,78.40419
17.42885,78.40422
17.42879,78.4043
17.42873,78.40437
17.42867,78.40444
17.42865,78.40447
17.42862,78.40451
17.42824,78.40496
17.4282,78.40501
17.42809,78.40514
17.42791,78.40536
17.42773,78.40558
17.42769,78.40562
17.42759,78.40574
17.42743,78.40597
17.4273,78.40614
17.42706,78.40646
17.42668,78.40693
17.42644,78.40724
17.4263,78.40741
17.42623,78.4075
17.42609,78.40768
17.42596,78.40784
17.42581,78.40802
17.42549,78.40842
17.42538,78.40856
17.42524,78.40874
17.4251,78.4089
17.42492,78.40912
17.4248,78.40928
17.42466,78.40946
17.42451,78.40965
17.42433,78.40988
17.4239,78.41041
17.42359,78.41078
17.42341,78.41099
17.42332,78.4111
17.42322,78.41141
17.42308,78.41135
17.42315,78.41152
17.42322,78.41168
17.42328,78.41182
17.42335,78.412
17.42343,78.41225
17.42347,78.41237
17.42355,78.41261
17.42359,78.41273
17.42361,78.41282
17.42367,78.41295
17.42371,78.41301
17.42374,78.41304
17.42376,78.41307
17.42379,78.4131
17.42384,78.41313
17.42398,78.41321
17.42407,78.41325
17.42415,78.41329
17.42421,78.41333
17.42425,78.41337
17.42435,78.41346
17.42449,78.41359
17.42464,78.41374
17.42469,78.4138
17.42479,78.4139
17.42489,78.41401
17.42508,78.4142
17.42522,78.41433
17.42523,78.41434
17.42528,78.41438
17.42536,78.41445
17.42541,78.41449
17.42554,78.41457
17.42567,78.41466
17.42583,78.41476
17.42594,78.41484
17.42613,78.415
17.42625,78.41511
17.42637,78.41523
17.42645,78.4153
17.42653,78.4154
17.42662,78.41546
17.42695,78.41578
17.42698,78.41581
17.42702,78.41585
17.42713,78.41597
17.42714,78.41598
17.4273,78.41613
17.42735,78.41617
17.4278,78.41661
17.42821,78.417
17.42828,78.41706
17.4286,78.41737
17.42871,78.41747
17.42893,78.41768
17.42913,78.41788
17.42931,78.41805
17.42939,78.41813
17.42959,78.41831
17.42971,78.41842
17.42978,78.4185
17.43011,78.41881
17.43018,78.41888
17.4303,78.41901
17.43051,78.41921
17.43057,78.41927
17.43063,78.41934
17.43076,78.4195
17.43084,78.41959
17.43092,78.41969
17.43107,78.41987
17.43126,78.42012
17.43136,78.42022
17.43146,78.42031
17.43152,78.42034
17.43159,78.42035
17.43164,78.42035
17.43168,78.42034
17.43171,78.42031
17.43174,78.42027
17.43176,78.4202
17.43177,78.42008
17.43178,78.41992
17.43179,78.41969
17.43179,78.41952
17.4318,78.41937
17.43181,78.4192
17.43183,78.4191
17.43185,78.419
17.43189,78.41886
17.43192,78.41878
17.43196,78.41869
17.432,78.41859
17.43207,78.41843
17.43212,78.4183
17.4322,78.41813
17.43228,78.41796
17.43233,78.41784
17.4324,78.41768
17.43247,78.41751
17.43252,78.41741
17.43255,78.41737
17.43258,78.41732
17.43262,78.41729
17.43266,78.41726
17.43273,78.41722
17.43279,78.41719
17.43289,78.41715
17.433,78.41711
17.43309,78.41707
17.43317,78.41702
17.43328,78.41695
17.43338,78.41688
17.43346,78.41682
17.43358,78.41672
17.4337,78.41661
17.43381,78.4165
17.43393,78.41638
17.43402,78.41627
